,PassengerId,HomePlanet,CryoSleep,Destination,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,CabinFirst,CabinSecond,CabinThird
0,0013_01,0,True,2,1,False,0,0,0,0,0,6,0,1
1,0018_01,0,False,2,1,False,0,0,0,0,0,5,0,1
2,0019_01,1,True,0,1,False,0,0,0,0,0,2,0,1
3,0021_01,1,False,2,2,False,0,1,0,0,0,2,0,1
4,0023_01,0,False,2,1,False,0,0,0,0,0,5,0,1
5,0027_01,0,False,2,1,False,0,0,0,0,0,5,0,0
6,0029_01,1,True,0,1,False,0,0,0,0,0,1,0,0
7,0032_01,1,True,2,1,False,0,0,0,0,0,3,0,1
8,0032_02,1,True,0,1,False,0,0,0,0,0,3,0,1
9,0033_01,0,False,0,1,False,0,0,0,0,0,5,0,1
10,0037_01,0,False,2,1,False,0,0,0,0,0,5,0,1
11,0040_01,1,False,2,2,False,0,0,0,0,0,3,0,0
12,0040_02,1,False,2,2,False,0,0,0,0,0,3,0,0
13,0042_01,2,True,2,2,False,0,0,0,0,0,4,0,0
14,0046_01,0,False,2,1,False,0,0,0,0,0,6,0,0
15,0046_02,0,False,2,1,False,0,0,0,0,0,5,0,0
16,0046_03,0,False,2,1,False,0,0,0,0,0,5,0,0
17,0047_01,1,True,2,2,False,0,0,0,0,0,1,0,1
19,0047_03,1,False,2,2,False,0,0,0,0,0,1,0,1
20,0048_01,0,False,2,1,False,0,0,0,0,0,6,0,1
21,0049_01,0,False,2,0,False,0,0,0,0,0,4,0,0
22,0054_01,1,True,0,1,False,0,0,0,0,0,1,0,0
23,0054_02,1,False,0,1,False,0,1,0,0,0,1,0,0
24,0054_03,1,False,0,4,False,0,0,0,0,0,1,0,0
25,0055_01,0,False,2,1,False,0,0,0,0,0,6,0,0
26,0057_01,1,False,0,1,False,0,0,0,0,0,2,0,0
27,0059_01,0,True,2,2,False,0,0,0,0,0,4,0,0
28,0060_01,0,False,2,1,False,0,0,0,0,0,5,0,0
29,0063_01,0,True,0,1,False,0,0,0,0,0,6,0,1
30,0065_01,0,True,2,1,False,0,0,0,0,0,6,0,1
31,0075_01,0,False,2,1,False,0,0,0,0,0,6,0,1
32,0079_01,0,True,2,2,False,0,0,0,0,0,6,0,1
33,0080_01,0,False,2,1,False,0,0,0,0,0,6,0,0
34,0083_01,0,False,2,1,False,0,0,0,0,0,6,0,0
35,0087_01,0,False,2,1,False,0,0,0,0,0,4,0,0
36,0089_01,2,True,2,1,False,0,0,0,0,0,5,0,1
37,0093_01,0,False,2,1,False,0,0,0,0,0,6,0,0
38,0094_01,0,True,2,0,False,0,0,0,0,0,6,0,1
39,0094_02,0,False,2,2,False,0,0,0,0,0,5,0,1
40,0095_01,0,False,1,1,False,0,0,0,0,0,5,0,0
41,0096_01,0,False,1,1,False,0,0,0,0,0,5,0,1
42,0100_01,0,False,2,1,False,0,0,0,0,0,6,0,0
43,0100_02,0,False,2,0,False,0,0,0,0,0,6,0,0
44,0104_01,0,False,2,1,False,0,0,0,0,0,5,0,1
45,0106_01,0,True,2,1,False,0,0,0,0,0,5,0,1
46,0109_01,0,False,2,2,False,0,0,0,0,0,5,0,0
47,0117_01,0,False,1,1,False,0,0,0,0,0,4,0,0
48,0118_01,0,False,2,1,False,0,0,0,0,0,6,0,0
49,0121_01,0,False,2,1,False,0,0,0,0,0,5,0,0
50,0124_01,0,True,0,0,False,0,0,0,0,0,6,0,0
51,0125_01,1,True,0,1,False,0,0,0,0,0,1,0,0
52,0125_02,1,False,2,0,False,0,0,0,0,0,1,0,0
53,0130_01,0,True,0,0,False,0,0,0,0,0,6,0,0
54,0131_01,0,False,0,2,False,0,0,0,0,0,5,0,1
55,0132_01,2,False,0,1,False,0,0,0,0,0,3,0,1
56,0135_01,0,False,2,2,False,0,0,0,0,0,5,0,0
